id,total_len,nb_groups,len_groups,max_len_group,start_pos
logo_0_11,0,0,[],0,[]
logo_0_10,0,0,[],0,[]
logo_0_12,0,0,[],0,[]
logo_0_13,0,0,[],0,[]
logo_0_14,0,0,[],0,[]
logo_0_15,0,0,[],0,[]
logo_0_9,16,1,[16],16,"[P(14.516189575195312, 15.467767715454102)]"
logo_0_8,15,1,[15],15,"[P(12.741138458251953, 15.532554626464844)]"
logo_0_0,7,1,[7],7,"[P(11.9639253616333, 4.5934014320373535)]"
logo_0_1,4,1,[4],4,"[P(16.040922164916992, 8.97691535949707)]"
logo_0_3,4,1,[4],4,"[P(7.886682510375977, 8.97691535949707)]"
logo_0_2,7,1,[7],7,"[P(6.498397350311279, 13.744987487792969)]"
logo_0_6,14,1,[14],14,"[P(9.333866119384766, 15.467767715454102)]"
logo_0_7,7,1,[7],7,"[P(10.841174125671387, 15.518811225891113)]"
logo_0_5,7,1,[7],7,"[P(11.9639253616333, 4.5934014320373535)]"
logo_0_4,5,1,[5],5,"[P(11.963924407958984, 4.593401908874512)]"
